study_code,original_code,rad_assignment,caps_assignment,final_assignment
PSOKD_7053,not_available,BLU,,BLU
PSOKD_7054,not_available,BLU,,BLU
PSOKD_7055,not_available,BLU,,BLU
PSOKD_7056,not_available,BLU,,BLU
PSOKD_7057,not_available,BLU,,BLU
PSOKD_7061,not_available,BLU,,BLU
PSOKD_7065,not_available,BLU,,BLU
PSOKD_7066,not_available,BLU,,BLU
PSOKD_7072,not_available,BLU,,BLU
PSOKD_7074,not_available,BLU,,BLU
PSOSD_7135,not_available,BLU,,BLU
PSOSD_7137,not_available,BLU,,BLU
PSOSD_7141,not_available,BLU,,BLU
PSOSD_7142,not_available,BLU,,BLU
PSOSD_7145,not_available,BLU,,BLU
PSOSD_7147,not_available,BLU,,BLU
PSOSD_7148,not_available,BLU,,BLU
PSOSD_7149,not_available,BLU,,BLU
PSOSD_7150,not_available,BLU,,BLU
PSOSD_7152,not_available,BLU,,BLU
PSCFX_0430,DC0430,BLU,BLU,BLU
PSGMD_0859,DC0859,BLU,BLU,BLU
PSCYX_7460,DC7460,BLU,BLU,BLU
PSGAD_7610,DC7610,BLU,UBR,BLU
PSGYD_7832,DC7832,BLU,BLU,BLU
PSGYD_7833,DC7833,BLU,BLU,BLU
PSGYD_7834,DC7834,BLU,BLU,BLU
PSGTS_7902,DC7902,BLU,BLU,BLU
PSGSD_8000,DC8000,BLU,BLU,BLU
PSGSD_8024,DC8024,BLU,BLU,BLU
PSGSB_8043,DC8043,BLU,UGB,BLU
PSGSB_8045,DC8045,BLU,BLU,BLU
PSGDS_8068,DC8068,BLU,BLU,BLU
PSGDD_8083,DC8083,BLU,BLU,BLU
PSGDD_8092,DC8092,BLU,BLU,BLU
PSGDB_8137,DC8137,BLU,BLU,BLU
PSGRD_8181,DC8181,BLU,BLU,BLU
PSGRD_8189,DC8189,BLU,BLU,BLU
PSCBS_8274,DC8274,BLU,BLU,BLU
PSCBS_8278,DC8278,BLU,BLU,BLU
PSCBS_8281,DC8281,BLU,BLU,BLU
PSCBD_8288,DC8288,BLU,BLU,BLU
PSCBD_8289,DC8289,BLU,BLU,BLU
PSCBD_8290,DC8290,BLU,UBR,BLU
PSCBD_8292,DC8292,BLU,BLU,BLU
PSCBD_8309,DC8309,BLU,BLU,BLU
PSCBD_8311,DC8311,BLU,BLU,BLU
PSCBX_8315,DC8315,BLU,BLU,BLU
PSCBX_8318,DC8318,BLU,BLU,BLU
PSCBX_8320,DC8320,BLU,BLU,BLU
PSCBX_8321,DC8321,BLU,BLU,BLU
PSCBX_8322,DC8322,BLU,BLU,BLU
PSCBX_8323,DC8323,BLU,BLU,BLU
PSCBX_8325,DC8325,BLU,BLU,BLU
PSCBX_8326,DC8326,BLU,BLU,BLU
PSCBX_8327,DC8327,BLU,BLU,BLU
PSCBX_8331,DC8331,BLU,BLU,BLU
PSCBX_8332,DC8332,BLU,BLU,BLU
PSCBX_8333,DC8333,BLU,BLU,BLU
PSCBX_8334,DC8334,BLU,BLU,BLU
PSCBX_8336,DC8336,BLU,BLU,BLU
PSCBX_8337,DC8337,BLU,BLU,BLU
PSCYS_8361,DC8361,BLU,BLU,BLU
PSCYD_8378,DC8378,BLU,BLU,BLU
PSCYD_8382,DC8382,BLU,BLU,BLU
PSCYD_8393,DC8393,BLU,BLU,BLU
PSCYD_8395,DC8395,BLU,UBR,BLU
PSPGD_0947,PNG0947,BLU,BLU,BLU
PSPGS_1049,PNG1049,BLU,BLU,BLU
PSPGS_1097,PNG1097,BLU,UBR,BLU
PSPVS_1333,PNG1333,BLU,BLU,BLU
PSCBD_8287,not_available,BLU,,BLU
PSCBD_8300,not_available,BLU,,BLU
PSCBD_8301,not_available,BLU,,BLU
PSCBD_8302,not_available,BLU,,BLU
PSCBD_8303,not_available,BLU,,BLU
PSCBD_8307,not_available,BLU,,BLU
PSCBD_8310,not_available,BLU,,BLU
PSCBS_8276,not_available,BLU,,BLU
PSCBS_8279,not_available,BLU,,BLU
PSCBS_8280,not_available,BLU,,BLU
PSCBS_8282,not_available,BLU,,BLU
PSCFX_0507,not_available,BLU,,BLU
PSCYD_8388,not_available,BLU,,BLU
PSCYD_8391,not_available,BLU,,BLU
PSCYD_8394,not_available,BLU,,BLU
PSCYD_8396,not_available,BLU,,BLU
PSCYD_8400,not_available,BLU,,BLU
PSCYS_8346,not_available,BLU,,BLU
PSCYS_8360,not_available,BLU,,BLU
PSGAB_7650,not_available,BLU,,BLU
PSGAB_7662,not_available,BLU,,BLU
PSGAD_7604,not_available,BLU,,BLU
PSGAD_7615,not_available,BLU,,BLU
PSGAD_7619,not_available,BLU,,BLU
PSGDB_8160,not_available,BLU,,BLU
PSGDD_8077,not_available,BLU,,BLU
PSGDD_8079,not_available,BLU,,BLU
PSGDD_8087,not_available,BLU,,BLU
PSGDD_8094,not_available,BLU,,BLU
PSGDS_8097,not_available,BLU,,BLU
PSGDS_8101,not_available,BLU,,BLU
PSGDS_8103,not_available,BLU,,BLU
PSGDS_8108,not_available,BLU,,BLU
PSGGB_7962,not_available,BLU,,BLU
PSGGB_7968,not_available,BLU,,BLU
PSGGD_2489,not_available,BLU,,BLU
PSGGD_2554,not_available,BLU,,BLU
PSGMB_1107,not_available,BLU,,BLU
PSGMB_1108,not_available,BLU,,BLU
PSGMD_1054,not_available,BLU,,BLU
PSGRB_8220,not_available,BLU,,BLU
PSGRB_8229,not_available,BLU,,BLU
PSGRD_8173,not_available,BLU,,BLU
PSGRD_8179,not_available,BLU,,BLU
PSGRD_8188,not_available,BLU,,BLU
PSGRD_8192,not_available,BLU,,BLU
PSGRD_8197,not_available,BLU,,BLU
PSGSB_8047,not_available,BLU,,BLU
PSGSB_8050,not_available,BLU,,BLU
PSGSB_8052,not_available,BLU,,BLU
PSGSB_8058,not_available,BLU,,BLU
PSGSB_8061,not_available,BLU,,BLU
PSGSD_7991,not_available,BLU,,BLU
PSGSD_7992,not_available,BLU,,BLU
PSGSD_7995,not_available,BLU,,BLU
PSGSD_7996,not_available,BLU,,BLU
PSGSD_7999,not_available,BLU,,BLU
PSGSD_8004,not_available,BLU,,BLU
PSGSD_8021,not_available,BLU,,BLU
PSGTD_7946,not_available,BLU,,BLU
PSGTD_7948,not_available,BLU,,BLU
PSGTD_7950,not_available,BLU,,BLU
PSGTD_7952,not_available,BLU,,BLU
PSGTS_7903,not_available,BLU,,BLU
PSGTS_7904,not_available,BLU,,BLU
PSGTS_7905,not_available,BLU,,BLU
PSGTS_7913,not_available,BLU,,BLU
PSGTS_7919,not_available,BLU,,BLU
PSGTS_7920,not_available,BLU,,BLU
PSGUB_7766,not_available,BLU,,BLU
PSGUB_7789,not_available,BLU,,BLU
PSGYD_7812,not_available,BLU,,BLU
PSGYD_7815,not_available,BLU,,BLU
PSGYD_7817,not_available,BLU,,BLU
PSGYD_7819,not_available,BLU,,BLU
PSGYD_7829,not_available,BLU,,BLU
PSGYS_7878,not_available,BLU,,BLU
PSGYS_7880,not_available,BLU,,BLU
PSGYS_7890,not_available,BLU,,BLU
