original_code,study_code,depth,lineage,septa_per5mm,valley_tops,valley_bottoms,corallite,ridge_height
DC1262,PSCVS_1262,10m,GRN,0.55,26.66666667,1.866666667,3.75,14.5
DC1269,PSCVD_1269,40m,GRN,0.483333333,21.33333333,3,,8.8
DC1394,PSCVD_1394,40m,GRN,0.55,27.06666667,3.866666667,2.5,6.666666667
DC1403,PSCVD_1403,40m,RED,0.416666667,34.66666667,4.333333333,6,10.33333333
DC1425,PSCVD_1425,40m,BLU,0.5,26,2.333333333,,7.833333333
DC1426,PSCVD_1426,40m,BLU,0.416666667,24.66666667,3.066666667,,8.4375
DC1428,PSCVD_1428,40m,GRN,0.55,20,2.2,,4.9
DC1429,PSCVD_1429,40m,BLU,0.383333333,21.33333333,2.333333333,,11.5
DC1435,PSCVS_1435,10m,RED,0.433333333,22,2.266666667,4.333333333,14.8
DC1444,PSCVS_1444,10m,RED,0.416666667,31.33333333,2.2,3.5,17.91666667
DC1448,PSCVS_1448,10m,GRN,0.433333333,30,3.666666667,3,6.746031746
DC1455,PSCVS_1455,10m,GRN,0.4,31.06666667,3,5.5,
DC1557,PSCVS_1557,10m,RED,0.333333333,32.66666667,3.2,3.05,9.523809524
DC1684,PSCOD_1684,40m,RED,0.45,30,2.866666667,,8.833333333
DC1685,PSCOD_1685,40m,RED,0.533333333,32.66666667,1.733333333,3.2,12.5
DC1686,PSCOD_1686,40m,BLU,0.483333333,25.33333333,3.066666667,2.7,4.266666667
DC1687,PSCOD_1687,40m,RED,0.366666667,38,3.133333333,4.3,16.66666667
DC1695,PSCOD_1695,40m,RED,0.45,28.66666667,2.866666667,2.6,2.5
DC1696,PSCOD_1696,40m,GRN,0.433333333,26.66666667,2.733333333,,4.533333333
DC1697,PSCOD_1697,40m,GRN,0.516666667,30,2.8,,3
DC1708,PSCOS_1708,10m,RED,0.45,31.33333333,2.466666667,2.65,12.6984127
DC1715,PSCOS_1715,10m,GRN,0.4,31.33333333,2.933333333,,13
DC1716,PSCOS_1716,10m,BLU,0.416666667,27.33333333,2.333333333,,15.5
DC1718,PSCOS_1718,10m,RED,0.416666667,34.66666667,5,,8.533333333
DC1719,PSCOS_1719,10m,RED,0.45,28,2.666666667,4.65,1.183333333
DC1723,PSCOS_1723,10m,GRN,0.55,29.33333333,2.733333333,4.6875,9.866666667
DC1813,PSCOD_1813,40m,BLU,0.483333333,34.66666667,2.866666667,,16.66666667
DC1818,PSCOD_1818,40m,GRN,0.5,36.16666667,3.4,6.5,5
DC1834,PSCOS_1834,10m,GRN,0.416666667,29.33333333,3.333333333,4.666666667,5
DC1875,PSCOD_1875,40m,BLU,0.55,28.93333333,1.133333333,2.7,0.5
DC2049,PSCYD_2049,40m,RED,0.366666667,30,2.666666667,2.1,4.666666667
DC2054,PSCYD_2054,40m,RED,0.383333333,32.66666667,3,4.5,1.366666667
DC2089,PSCYD_2089,40m,RED,0.383333333,47.06666667,4.266666667,,5.5
DC2101,PSCYD_2101,40m,RED,0.383333333,40.66666667,2.8,2.622222222,5.291005291
DC2103,PSCYD_2103,40m,RED,0.45,27.33333333,3,4.333333333,1.333333333
DC2371,PSCYS_2371,10m,BLU,0.45,32.93333333,2.333333333,4,1
DC2383,PSCYS_2383,10m,BLU,0.466666667,32.66666667,2.333333333,4,0.833333333
