original_code,study_code,depth,lineage,chlorophyll_c2_ugcm2,peridin_ugcm2,fucoxanthin_Âµgcm2,chlorophyll_a_µgcm2,chlorophyll_a_pgcell,tot_xanthophyll_pool,protein,zooxs_cm2,lipids
DC1261,PSCVS_1261,10m,RED,1.842647612,5.250049344,0.351794837,4.488437951,5.624234694,0.133079331,1.597859525,798053.1033,0.73118603
DC1262,PSCVS_1262,10m,GRN,2.27299273,7.59947143,0.489746586,5.808472042,6.020089286,0.159955506,0.779356338,964848.1552,0.659207656
DC1267,PSCVD_1267,40m,GRN,1.564913177,5.067434624,0.309732978,4.214399537,5.005025126,0.141686747,1.309294405,842033.6424,2.303353587
DC1268,PSCVD_1268,40m,GRN,1.509137433,4.657960519,0.301131229,3.80156419,4.346268657,0.150641026,1.159851883,874673.0795,0.276496737
DC1269,PSCVD_1269,40m,GRN,1.905422046,6.111021737,0.30076617,4.91479265,4.229411765,0.14394993,1.151181564,1162051.113,0.139259275
DC1331,PSCVM_1331,20m,RED,0.347537358,1.158853237,0.066423522,0.894345283,2.331958763,0.153846154,0.803957174,383516.7657,0.49812329
DC1332,PSCVM_1332,20m,GRN,1.276794534,4.685529824,0.22612989,3.15495633,3.977178423,0.173395931,1.107240282,793264.9719,0.605676177
DC1333,PSCVM_1333,20m,RED,0.752153644,2.206161389,0.148559118,1.941796344,3.648351648,0.158433735,1.163606419,532239.3594,0.40531035
DC1334,PSCVM_1334,20m,RED,1.412382153,4.323618834,0.166026963,3.283644384,3.370414201,0.15238764,1.718652841,974255.444,1.431598236
DC1335,PSCVM_1335,20m,GRN,0.74087859,2.833249991,0.118052083,1.799276575,3.583783784,0.17760181,1.14631062,502060.5827,0.444894681
DC1336,PSCVM_1336,20m,GRN,0.810941946,2.853067198,0.146750951,2.157429571,3.173831776,0.165636042,1.459378239,679755.4892,0.826584387
DC1337,PSCVM_1337,20m,BLU,1.346294653,4.11869916,0.235924346,3.366323508,4.676086957,0.162831241,1.197446254,719901.8195,0.877234664
DC1339,PSCVD_1339,40m,GRN,1.476973378,4.159455515,0.292049614,3.924014637,4.40433213,0.12852459,1.305500383,890944.307,0.260009193
DC1340,PSCVD_1340,40m,RED,1.334384874,4.666610448,0.216723368,3.848708083,2.580974478,0.127508091,1.154468335,1491184.092,0.17433711
DC1341,PSCVD_1341,40m,GRN,0.85002689,3.005014486,0.160055954,2.183826506,2.950324675,0.193133047,0.733340049,740198.7057,0.597536655
DC1342,PSCVD_1342,40m,GRN,2.18031908,7.147967148,0.304450453,5.637060865,4.383823529,0.154310634,0.655025443,1285877.688,0.370381788
DC1377,PSCVS_1377,10m,RED,1.817281775,5.401564802,0.268162792,4.017653252,2.330555556,0.153158522,2.970100482,1723903.66,0.33637553
DC1378,PSCVS_1378,10m,RED,3.072074362,7.853210783,0.465098943,7.02491093,5.695705521,0.14275456,1.556882691,1233369.756,0.893519606
DC1383,PSCVM_1383,20m,BLU,1.525692711,4.750353233,0.259367761,3.7346778,5.153383459,0.168660636,1.205222949,724704.0376,0.11054368
DC1385,PSCVS_1385,10m,GRN,2.154307061,6.93759901,0.35600837,5.645927615,6.185,0.155214228,1.146986295,912841.975,0.372073799
DC1392,PSCVX_1392,60m,BLU,1.285653485,3.894966522,0.237210276,3.336670514,6.850224215,0.138648861,1.240137115,487089.241,0.789751749
