CHROM,POS,fixed,pcadapt,Allele,Annotation,putative_impact,gene(s),uniprot1_id,uniprot1_gene,uniprot1_protein,uniprot1_url,uniprot2_id,uniprot2_gene,uniprot2_protein,uniprot2_url
Sc0000001,1126800,,out_REDvISR,ANN=T,downstream_gene_variant,MODIFIER,pspe_0.1.m1.2203,NA,NA,NA,NA,NA,NA,NA,NA
Sc0000001,1126834,,out_BLUvISR;out_REDvISR,ANN=T,downstream_gene_variant,MODIFIER,pspe_0.1.m1.2203,NA,NA,NA,NA,NA,NA,NA,NA
Sc0000001,1258612,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=A,downstream_gene_variant,MODIFIER,pspe_0.1.m1.2216,Q9BT25,HAUS8 HICE1,HAUS augmin-like complex subunit 8 (HEC1/NDC80-interacting centrosome-associated protein 1) (Sarcoma antigen NY-SAR-48),https://www.uniprot.org/uniprot/Q9BT25,NA,NA,NA,NA
Sc0000001,1258630,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=A,downstream_gene_variant,MODIFIER,pspe_0.1.m1.2216,Q9BT25,HAUS8 HICE1,HAUS augmin-like complex subunit 8 (HEC1/NDC80-interacting centrosome-associated protein 1) (Sarcoma antigen NY-SAR-48),https://www.uniprot.org/uniprot/Q9BT25,NA,NA,NA,NA
Sc0000001,1258682,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=A,downstream_gene_variant,MODIFIER,pspe_0.1.m1.2216,Q9BT25,HAUS8 HICE1,HAUS augmin-like complex subunit 8 (HEC1/NDC80-interacting centrosome-associated protein 1) (Sarcoma antigen NY-SAR-48),https://www.uniprot.org/uniprot/Q9BT25,NA,NA,NA,NA
Sc0000001,1258696,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=C,downstream_gene_variant,MODIFIER,pspe_0.1.m1.2216,Q9BT25,HAUS8 HICE1,HAUS augmin-like complex subunit 8 (HEC1/NDC80-interacting centrosome-associated protein 1) (Sarcoma antigen NY-SAR-48),https://www.uniprot.org/uniprot/Q9BT25,NA,NA,NA,NA
Sc0000001,148076,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=C,intergenic_region,MODIFIER,pspe_0.1.m1.2131-pspe_0.1.m1.2133,Q866R9,SPRY2,Protein sprouty homolog 2 (Spry-2),https://www.uniprot.org/uniprot/Q866R9,Q90722,FGF8,Fibroblast growth factor 8 (FGF-8) (Heparin-binding growth factor 8) (HBGF-8),https://www.uniprot.org/uniprot/Q90722
Sc0000001,1623839,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=A,upstream_gene_variant,MODIFIER,pspe_0.1.m1.2249,Q9CYL5,Glipr2 Gapr1,Golgi-associated plant pathogenesis-related protein 1 (GAPR-1) (Golgi-associated PR-1 protein) (Glioma pathogenesis-related protein 2) (GliPR 2),https://www.uniprot.org/uniprot/Q9CYL5,NA,NA,NA,NA
Sc0000001,2055172,,out_BLUvISR;out_REDvISR,ANN=C,intergenic_region,MODIFIER,pspe_0.1.m1.2270-pspe_0.1.m1.2271,P55039,DRG2,Developmentally-regulated GTP-binding protein 2 (DRG-2) (Translation factor GTPase DRG2) (TRAFAC GTPase DRG2) (EC 3.6.5.-),https://www.uniprot.org/uniprot/P55039,Q08288,Lyar,Cell growth-regulating nucleolar protein (Ly1 antibody-reactive protein) (Protein expressed in male leptotene and zygotene spermatocytes 264) (MLZ-264),https://www.uniprot.org/uniprot/Q08288
Sc0000001,2064372,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=A,intron_variant,MODIFIER,pspe_0.1.m1.2271,Q08288,Lyar,Cell growth-regulating nucleolar protein (Ly1 antibody-reactive protein) (Protein expressed in male leptotene and zygotene spermatocytes 264) (MLZ-264),https://www.uniprot.org/uniprot/Q08288,NA,NA,NA,NA
Sc0000001,2064398,fix_ISRvsGRN,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=G,intron_variant,MODIFIER,pspe_0.1.m1.2271,Q08288,Lyar,Cell growth-regulating nucleolar protein (Ly1 antibody-reactive protein) (Protein expressed in male leptotene and zygotene spermatocytes 264) (MLZ-264),https://www.uniprot.org/uniprot/Q08288,NA,NA,NA,NA
Sc0000001,2082050,,out_BLUvRED;out_REDvISR,ANN=A,upstream_gene_variant,MODIFIER,pspe_0.1.m1.2277,Q80YD6,Sergef Delgef Gnefr,Secretion-regulating guanine nucleotide exchange factor (Deafness locus-associated putative guanine nucleotide exchange factor) (DelGEF) (Guanine nucleotide exchange factor-related protein),https://www.uniprot.org/uniprot/Q80YD6,NA,NA,NA,NA
Sc0000001,2082054,,out_BLUvISR;out_BLUvRED,ANN=G,upstream_gene_variant,MODIFIER,pspe_0.1.m1.2277,Q80YD6,Sergef Delgef Gnefr,Secretion-regulating guanine nucleotide exchange factor (Deafness locus-associated putative guanine nucleotide exchange factor) (DelGEF) (Guanine nucleotide exchange factor-related protein),https://www.uniprot.org/uniprot/Q80YD6,NA,NA,NA,NA
Sc0000001,2089465,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=T,synonymous_variant,LOW,pspe_0.1.m1.2277,Q80YD6,Sergef Delgef Gnefr,Secretion-regulating guanine nucleotide exchange factor (Deafness locus-associated putative guanine nucleotide exchange factor) (DelGEF) (Guanine nucleotide exchange factor-related protein),https://www.uniprot.org/uniprot/Q80YD6,NA,NA,NA,NA
Sc0000001,2540855,,out_GRNvISR;out_GRNvRED;out_BLUvGRN,ANN=T,intergenic_region,MODIFIER,pspe_0.1.m1.2305-pspe_0.1.m1.2311,P97295,Npy2r,Neuropeptide Y receptor type 2 (NPY2-R) (NPY-Y2 receptor) (Y2 receptor),https://www.uniprot.org/uniprot/P97295,NA,NA,NA,NA
Sc0000001,2630551,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=C,intron_variant,MODIFIER,pspe_0.1.m1.2308,O08560,Dgkz Dagk6,Diacylglycerol kinase zeta (DAG kinase zeta) (EC 2.7.1.107) (104 kDa diacylglycerol kinase) (DGK-IV) (Diglyceride kinase zeta) (DGK-zeta),https://www.uniprot.org/uniprot/O08560,NA,NA,NA,NA
Sc0000001,2748017,,out_BLUvISR;out_REDvISR,ANN=G,intergenic_region,MODIFIER,pspe_0.1.m1.2317-pspe_0.1.m1.2318,P17276,Hn pah Tph CG7399,Protein henna (EC 1.14.16.1) (EC 1.14.16.4) (Phe-4-monooxygenase) (Phenylalanine-4-hydroxylase) (PAH) (Tryptophan 5-hydroxylase) (TRH) (Tryptophan 5-monooxygenase),https://www.uniprot.org/uniprot/P17276,NA,NA,NA,NA
Sc0000001,2768752,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=G,intergenic_region,MODIFIER,pspe_0.1.m1.2317-pspe_0.1.m1.2318,P17276,Hn pah Tph CG7399,Protein henna (EC 1.14.16.1) (EC 1.14.16.4) (Phe-4-monooxygenase) (Phenylalanine-4-hydroxylase) (PAH) (Tryptophan 5-hydroxylase) (TRH) (Tryptophan 5-monooxygenase),https://www.uniprot.org/uniprot/P17276,NA,NA,NA,NA
Sc0000001,294601,,out_BLUvISR;out_BLUvRED;out_BLUvGRN,ANN=T,intergenic_region,MODIFIER,pspe_0.1.m1.2143-pspe_0.1.m1.2148,NA,NA,NA,NA,Q91Z38,Ttc1,Tetratricopeptide repeat protein 1 (TPR repeat protein 1),https://www.uniprot.org/uniprot/Q91Z38
Sc0000001,294621,,out_BLUvISR;out_BLUvRED;out_BLUvGRN,ANN=G,intergenic_region,MODIFIER,pspe_0.1.m1.2143-pspe_0.1.m1.2148,NA,NA,NA,NA,Q91Z38,Ttc1,Tetratricopeptide repeat protein 1 (TPR repeat protein 1),https://www.uniprot.org/uniprot/Q91Z38
Sc0000001,3211066,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=T,intron_variant,MODIFIER,pspe_0.1.m1.2358,Q9P2D7,DNAH1 DHC7 DNAHC1 KIAA1410,Dynein heavy chain 1, axonemal (Axonemal beta dynein heavy chain 1) (Ciliary dynein heavy chain 1) (Heat shock regulated protein 1) (HSRF-1) (hDHC7),https://www.uniprot.org/uniprot/Q9P2D7,NA,NA,NA,NA
Sc0000001,3227703,,out_GRNvISR;out_BLUvISR;out_REDvISR,ANN=T,intron_variant,MODIFIER,pspe_0.1.m1.2358,Q9P2D7,DNAH1 DHC7 DNAHC1 KIAA1410,Dynein heavy chain 1, axonemal (Axonemal beta dynein heavy chain 1) (Ciliary dynein heavy chain 1) (Heat shock regulated protein 1) (HSRF-1) (hDHC7),https://www.uniprot.org/uniprot/Q9P2D7,NA,NA,NA,NA
